SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,MonitorValue00,MonitorValue01,MonitorValue02,MonitorValue03,MonitorValue04,MonitorValue05,MonitorValue06,MonitorValue07,MonitorValue08,MonitorValue09,MonitorValue10,MonitorValue11,MonitorValue12,MonitorValue13,MonitorValue14,MonitorValue15,MonitorValue16,MonitorValue17,MonitorValue18,MonitorValue19,MonitorValue20,MonitorValue21,MonitorValue22,MonitorValue23
6,板橋,1,二氧化硫,SO2,ppb,1984-02-03,30,28,27,23,x,x,30,39,37,37,37,38,40,36,37,37,35,38,37,34,33,20,x,x
6,板橋,2,一氧化碳,CO,ppm,1984-02-03,1.2,0.7,0.5,0.4,0.5,0.6,0.4,0.9,1.4,3.1,2.9,3.6,2.5,2,2.3,3.4,1.9,1.7,1.4,1.4,1.8,1.8,1.1,0.9
6,板橋,3,臭氧,O3,ppb,1984-02-03,5,6,7,7,8,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
6,板橋,4,懸浮微粒,PM10,μg/m3,1984-02-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,5,氮氧化物,NOx,ppb,1984-02-03,38,14,5,5,5,18,38,76,83,143,108,120,111,87,96,136,90,77,70,67,88,83,31,25
6,板橋,6,一氧化氮,NO,ppb,1984-02-03,37,16,8,7,4,14,33,68,86,157,121,132,126,98,106,149,103,90,82,74,97,86,25,16
6,板橋,7,二氧化氮,NO2,ppb,1984-02-03,x,x,x,x,x,3,4,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,9
6,板橋,8,總碳氫化合物,THC,ppm,1984-02-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,1984-02-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,10,風速,WIND_SPEED,m/sec,1984-02-03,12,15,13,13,15,13,13,14,13,11,13,13,15,12,11,13,8,9,12,12,10,8,8,7
6,板橋,11,風向,WIND_DIREC,degrees,1984-02-03,218,196,187,211,178,180,208,184,208,218,216,208,224,227,220,206,208,228,234,216,223,255,192,236
6,板橋,14,溫度,AMB_TEMP,℃,1984-02-03,13,13,13,12,12,12,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
6,板橋,31,甲烷,CH4,ppm,1984-02-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,38,相對濕度,RH,percent,1984-02-03,77,76,74,78,76,74,80,79,80,75,75,75,76,76,76,75,75,76,76,76,76,76,77,77
50,鳳山,1,二氧化硫,SO2,ppb,1984-02-03,28,24,x,48,81,68,40,27,22,22,33,37,38,31,20,29,35,45,32,35,60,55,137,64
50,鳳山,2,一氧化碳,CO,ppm,1984-02-03,1,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1,1.4,2.2,1.7,1.3,1.2,1.2,1.2,1.5,1.8,1.8,1.6,1.6,1.3,1.3,1.2
50,鳳山,3,臭氧,O3,ppb,1984-02-03,1,1,x,1,2,1,x,2,3,5,14,25,26,27,28,28,25,11,5,3,1,x,1,1
50,鳳山,4,懸浮微粒,PM10,μg/m3,1984-02-03,10,7,7,8,16,13,9,8,10,8,12,14,5,11,9,5,27,30,48,42,x,18,27,22
50,鳳山,5,氮氧化物,NOx,ppb,1984-02-03,34,30,x,37,41,32,31,23,19,30,52,43,37,36,28,30,37,59,60,58,70,58,76,51
50,鳳山,6,一氧化氮,NO,ppb,1984-02-03,8,7,x,13,17,8,8,7,7,11,12,9,8,8,6,6,6,10,11,12,27,21,40,22
50,鳳山,7,二氧化氮,NO2,ppb,1984-02-03,25,22,x,23,24,24,23,15,11,18,39,33,28,28,21,23,31,49,48,46,43,36,35,28
50,鳳山,8,總碳氫化合物,THC,ppm,1984-02-03,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
