SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,MonitorValue00,MonitorValue01,MonitorValue02,MonitorValue03,MonitorValue04,MonitorValue05,MonitorValue06,MonitorValue07,MonitorValue08,MonitorValue09,MonitorValue10,MonitorValue11,MonitorValue12,MonitorValue13,MonitorValue14,MonitorValue15,MonitorValue16,MonitorValue17,MonitorValue18,MonitorValue19,MonitorValue20,MonitorValue21,MonitorValue22,MonitorValue23
1,基隆,1,二氧化硫,SO2,ppb,1991-02-05,16,11,14,15,10,17,25,43,43,37,32,38,27,31,32,46,41,66,68,70,64,60,33,37
1,基隆,2,一氧化碳,CO,ppm,1991-02-05,1.9,1.5,1.4,1.2,1.2,1.7,2.4,4.4,4.7,3.7,3.5,3.8,2.8,3.1,3.6,4.6,4.8,5,5.9,5.7,5.7,5.6,4.2,4.2
1,基隆,3,臭氧,O3,ppb,1991-02-05,6,10,9,10,14,9,5,3,2,4,5,4,7,6,6,3,3,x,x,x,x,x,2,1
1,基隆,4,懸浮微粒,PM10,μg/m3,1991-02-05,77,78,69,66,78,80,75,78,92,106,81,95,70,75,49,62,80,80,98,76,75,69,51,47
1,基隆,5,氮氧化物,NOx,ppb,1991-02-05,73,59,79,65,63,80,141,193,205,171,132,177,140,138,124,198,180,205,211,218,215,197,174,169
1,基隆,6,一氧化氮,NO,ppb,1991-02-05,47,32,35,29,27,42,87,163,131,124,100,145,88,106,92,136,143,161,152,189,168,128,136,124
1,基隆,7,二氧化氮,NO2,ppb,1991-02-05,26,26,44,36,35,37,54,30,74,47,32,32,51,31,32,62,36,43,59,29,46,68,37,45
1,基隆,8,總碳氫化合物,THC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,基隆,10,風速,WIND_SPEED,m/sec,1991-02-05,6,9,5,5,10,6,6,6,6,6,8,9,13,8,13,7,7,5,6,4,7,5,6,6
1,基隆,11,風向,WIND_DIREC,degrees,1991-02-05,91,52,77,94,53,72,64,91,70,59,60,70,50,60,82,69,53,127,55,57,42,144,63,13
1,基隆,14,溫度,AMB_TEMP,℃,1991-02-05,14,14,14,14,14,14,14,15,15,15,15,16,15,16,16,16,16,16,16,16,16,16,17,17
1,基隆,31,甲烷,CH4,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,基隆,38,相對濕度,RH,percent,1991-02-05,81,74,75,75,68,72,71,72,74,71,70,68,65,69,72,74,72,77,76,81,76,82,82,87
2,汐止,1,二氧化硫,SO2,ppb,1991-02-05,19,13,11,20,15,15,26,25,30,28,17,21,20,20,13,13,16,12,13,13,14,14,13,8
2,汐止,2,一氧化碳,CO,ppm,1991-02-05,1.4,1.2,1,0.9,0.9,0.9,1.3,4,3.8,2.9,2.3,2,1.7,1.4,1.2,1.5,1.9,2.1,1.9,1.6,2.1,2.5,2.2,1.7
2,汐止,3,臭氧,O3,ppb,1991-02-05,1,1,5,3,4,4,x,x,x,x,x,2,6,7,12,4,1,1,x,x,x,x,x,2
2,汐止,4,懸浮微粒,PM10,μg/m3,1991-02-05,83,89,77,85,78,86,86,123,144,140,129,120,88,86,67,69,78,73,67,61,70,70,58,49
2,汐止,5,氮氧化物,NOx,ppb,1991-02-05,69,59,54,58,58,65,109,205,235,211,165,137,104,85,79,112,140,115,111,88,113,140,118,86
2,汐止,6,一氧化氮,NO,ppb,1991-02-05,25,18,14,16,18,23,57,134,155,130,94,75,52,40,39,59,80,59,58,40,61,85,65,44
2,汐止,7,二氧化氮,NO2,ppb,1991-02-05,43,40,39,41,39,40,51,69,79,80,70,61,50,43,38,51,59,55,52,47,50,54,52,41
2,汐止,8,總碳氫化合物,THC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,汐止,9,非甲烷碳氫化合物,NMHC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,汐止,10,風速,WIND_SPEED,m/sec,1991-02-05,16,23,22,22,34,25,22,27,34,41,50,45,52,46,24,31,29,20,21,29,27,20,28,12
2,汐止,11,風向,WIND_DIREC,degrees,1991-02-05,77,97,48,56,82,87,69,57,64,69,73,69,98,70,54,69,78,105,41,39,66,97,71,136
2,汐止,14,溫度,AMB_TEMP,℃,1991-02-05,13,13,14,14,14,14,14,14,15,16,16,17,18,18,19,18,17,17,16,16,16,17,17,17
2,汐止,31,甲烷,CH4,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,汐止,38,相對濕度,RH,percent,1991-02-05,85,85,84,84,82,82,82,80,77,73,69,66,63,63,61,64,67,69,71,71,72,71,71,72
6,板橋,1,二氧化硫,SO2,ppb,1991-02-05,10,9,10,9,9,8,10,12,16,14,9,9,9,9,10,9,8,7,6,7,7,8,8,7
6,板橋,2,一氧化碳,CO,ppm,1991-02-05,1.1,0.9,0.9,0.6,0.7,0.7,1,3.8,5.4,3.5,2.8,1.8,1.2,1,0.9,1.4,1.5,2.6,1.9,1.6,1.8,1.9,1.7,1.4
6,板橋,3,臭氧,O3,ppb,1991-02-05,7,18,23,28,26,25,13,4,5,11,17,24,26,26,24,19,14,9,8,6,5,3,3,2
6,板橋,4,懸浮微粒,PM10,μg/m3,1991-02-05,77,68,71,58,75,62,75,103,115,99,132,86,73,58,55,60,62,70,75,52,54,56,53,54
6,板橋,5,氮氧化物,NOx,ppb,1991-02-05,77,45,41,28,36,42,85,145,159,123,89,67,56,55,53,64,76,84,69,72,77,79,77,78
6,板橋,6,一氧化氮,NO,ppb,1991-02-05,39,16,14,7,12,17,45,91,101,73,45,30,22,24,20,27,36,39,25,27,33,33,31,33
6,板橋,7,二氧化氮,NO2,ppb,1991-02-05,38,29,26,20,24,25,40,54,59,50,44,37,33,31,33,37,40,45,44,45,45,46,46,45
6,板橋,8,總碳氫化合物,THC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,10,風速,WIND_SPEED,m/sec,1991-02-05,6,9,10,11,9,10,9,10,12,13,15,15,14,15,15,14,15,12,12,12,11,10,9,7
6,板橋,11,風向,WIND_DIREC,degrees,1991-02-05,260,259,292,292,263,290,264,289,283,294,275,274,244,289,317,252,332,221,268,283,220,257,342,320
6,板橋,14,溫度,AMB_TEMP,℃,1991-02-05,14,14,14,14,14,14,14,14,15,16,17,18,19,19,19,18,17,16,16,16,16,16,16,16
6,板橋,31,甲烷,CH4,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,板橋,38,相對濕度,RH,percent,1991-02-05,88,83,87,85,79,83,83,76,79,73,73,69,65,66,65,66,69,74,77,79,80,80,82,83
15,松山,1,二氧化硫,SO2,ppb,1991-02-05,33,34,34,34,34,41,49,62,80,48,47,40,27,26,34,33,28,42,57,41,33,33,29,22
15,松山,2,一氧化碳,CO,ppm,1991-02-05,1.3,1.2,0.9,0.8,0.8,0.9,1.1,3,5.3,3.4,3,3,1.9,1.8,2.4,2.2,2.4,4.5,6.9,3.2,2.3,2.8,2.4,2.1
15,松山,3,臭氧,O3,ppb,1991-02-05,1,4,5,8,11,5,3,x,x,3,6,12,17,15,12,11,8,2,x,x,x,x,1,x
15,松山,4,懸浮微粒,PM10,μg/m3,1991-02-05,121,135,125,157,146,123,90,130,181,155,128,69,83,97,71,89,54,95,102,72,41,59,63,76
15,松山,5,氮氧化物,NOx,ppb,1991-02-05,69,52,43,42,34,46,69,140,178,107,100,85,54,58,65,68,80,121,150,106,102,111,99,96
15,松山,6,一氧化氮,NO,ppb,1991-02-05,31,19,12,12,11,16,36,90,124,66,58,48,38,31,43,36,41,77,102,72,68,68,62,53
15,松山,7,二氧化氮,NO2,ppb,1991-02-05,37,32,30,29,23,29,33,49,53,40,41,37,16,27,21,32,38,43,48,34,33,43,37,43
15,松山,8,總碳氫化合物,THC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
15,松山,9,非甲烷碳氫化合物,NMHC,ppm,1991-02-05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
