SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,MonitorValue00,MonitorValue01,MonitorValue02,MonitorValue03,MonitorValue04,MonitorValue05,MonitorValue06,MonitorValue07,MonitorValue08,MonitorValue09,MonitorValue10,MonitorValue11,MonitorValue12,MonitorValue13,MonitorValue14,MonitorValue15,MonitorValue16,MonitorValue17,MonitorValue18,MonitorValue19,MonitorValue20,MonitorValue21,MonitorValue22,MonitorValue23
1,基隆,1,二氧化硫,SO2,ppb,1997-10-15,3.9,7.2,6.9,5.9,4.1,4.6,3.1,7.1,43,42,19,x,17,8.7,8.9,8.3,29,3.6,1.9,2.4,1.7,2.9,2.8,2
1,基隆,2,一氧化碳,CO,ppm,1997-10-15,0.9,0.8,0.8,0.9,0.9,1,1.1,1.4,1.8,1.1,0.9,x,0.6,0.7,0.8,0.7,0.8,0.9,1.3,1.4,1.1,1.4,1.1,1
1,基隆,3,臭氧,O3,ppb,1997-10-15,5.8,6.1,4.9,x,4.2,4.2,5.1,9.2,11,18,33,x,34,44,29,27,14,26,18,11,18,11,18,19
1,基隆,4,懸浮微粒,PM10,μg/m3,1997-10-15,46,46,46,44,42,46,39,64,60,59,72,x,x,45,77,66,69,98,56,66,43,42,75,66
1,基隆,5,氮氧化物,NOx,ppb,1997-10-15,41,40,52,51,48,43,x,53,114,85,47,x,27,20,30,31,50,20,26,36,25,36,27,22
1,基隆,6,一氧化氮,NO,ppb,1997-10-15,16,16,28,28,25,21,x,25,63,33,11,x,4.7,1.7,5.1,5.9,13,2.1,3.6,6.5,3.4,8.9,4.9,2.1
1,基隆,7,二氧化氮,NO2,ppb,1997-10-15,26,24,24,24,24,22,x,28,51,53,36,x,23,18,25,25,37,18,23,30,22,27,22,20
1,基隆,8,總碳氫化合物,THC,ppm,1997-10-15,2.7,x,3,3.4,3.7,3.8,3.3,3.3,3.5,3,x,x,2.1,2.2,2.2,2.2,2.2,2.1,3.8,3.7,3.7,5,3.7,4.1
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,1997-10-15,0.2,x,0.4,0.5,0.5,0.5,0.4,0.5,0.7,0.5,x,x,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.3,0.4,0.3,0.6
1,基隆,10,風速,WIND_SPEED,m/sec,1997-10-15,0.7,0.1,0,0,0.3,0.1,0.2,0.1,0.1,0.6,0.9,1,1.1,0.6,0.6,0.5,0.4,0,0,0.2,0.1,0.2,0.2,0.2
1,基隆,11,風向,WIND_DIREC,degrees,1997-10-15,204,212,182,888,201,248,210,230,888,888,297,888,302,888,123,120,127,155,153,137,127,123,124,111
1,基隆,14,溫度,AMB_TEMP,℃,1997-10-15,23.5,23.2,23,22.9,23,22.7,22.8,24.5,26.5,27.3,27.5,27.5,26.9,26.8,26.9,26.8,26,25.1,24.7,24.6,24.4,24.4,24.6,24.6
1,基隆,31,甲烷,CH4,ppm,1997-10-15,2.4,x,2.6,2.8,3.2,3.3,2.9,2.8,2.8,2.5,x,x,2.1,2,2.1,2,2.1,2,3.4,3.2,3.4,4.6,3.4,3.5
2,汐止,1,二氧化硫,SO2,ppb,1997-10-15,1.8,0.6,0.3,0.6,0.4,0.9,4.4,10,13,13,15,17,34,17,29,33,11,3.2,5.4,5.3,6.8,8.7,4.7,7.2
2,汐止,2,一氧化碳,CO,ppm,1997-10-15,0.6,0.7,0.7,1,1,1,1.4,1.9,1.6,1.2,1.4,1.3,0.9,0.8,0.9,0.8,0.7,1.1,1,1.4,1.5,1.4,1.1,1
2,汐止,3,臭氧,O3,ppb,1997-10-15,4.1,4,4.1,x,2.1,2.2,2.6,3.9,12,30,63,55,23,34,19,9.3,13,7.2,3.2,2.5,2.5,2.6,7.3,2.4
2,汐止,4,懸浮微粒,PM10,μg/m3,1997-10-15,61,55,49,31,47,47,54,56,75,102,103,132,132,122,85,69,74,65,68,85,81,82,77,66
2,汐止,5,氮氧化物,NOx,ppb,1997-10-15,69,36,43,62,67,76,x,135,106,74,60,66,79,51,82,89,60,66,72,91,96,106,53,88
2,汐止,6,一氧化氮,NO,ppb,1997-10-15,41,12,21,41,48,55,x,97,47,15,4.7,7.7,22,10,25,36,17,21,28,54,58,68,19,46
2,汐止,7,二氧化氮,NO2,ppb,1997-10-15,27,23,23,21,19,21,x,38,59,59,55,59,57,41,57,54,43,44,43,37,38,38,34,41
2,汐止,10,風速,WIND_SPEED,m/sec,1997-10-15,x,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.3,1.4,2.2,1.9,1.9,1.6,1.3,0.6,0.6,0.7,1,0.9,1,0.7
2,汐止,11,風向,WIND_DIREC,degrees,1997-10-15,31,352,40,53,72,53,72,54,59,888,888,86,111,88,105,76,64,81,63,93,108,100,110,74
2,汐止,14,溫度,AMB_TEMP,℃,1997-10-15,22.6,22.3,22.3,22,21.9,21.6,21.7,23.4,26.3,28.3,29.6,29,28,28,27.9,27.2,26,25.1,24.4,23.8,23.7,23.5,23.9,23.6
3,萬里,1,二氧化硫,SO2,ppb,1997-10-15,2.4,1.6,1.9,1.8,1.6,1.6,1.8,3.3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,2,一氧化碳,CO,ppm,1997-10-15,0.5,0.4,0.4,0.3,0.4,0.5,0.6,0.9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,3,臭氧,O3,ppb,1997-10-15,11,14,14,x,13,9.6,6.6,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,4,懸浮微粒,PM10,μg/m3,1997-10-15,32,22,17,20,22,35,35,41,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,5,氮氧化物,NOx,ppb,1997-10-15,12,6,5.8,5.8,5.7,8.6,x,32,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,6,一氧化氮,NO,ppb,1997-10-15,0.8,0.1,0.1,0.3,0,0.2,x,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,7,二氧化氮,NO2,ppb,1997-10-15,11,5.9,5.7,5.6,5.7,8.4,x,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,8,總碳氫化合物,THC,ppm,1997-10-15,2.1,2.1,2,2.1,2.1,2.1,2.3,2.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,9,非甲烷碳氫化合物,NMHC,ppm,1997-10-15,0.2,0.1,0,0,0,0,0.1,0.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,10,風速,WIND_SPEED,m/sec,1997-10-15,1.8,1.8,1.8,2.3,2.7,2.6,2.1,0.7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,11,風向,WIND_DIREC,degrees,1997-10-15,212,212,209,216,211,210,209,199,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,14,溫度,AMB_TEMP,℃,1997-10-15,22.7,22.5,22.5,22.3,21.9,21.9,21.9,24.3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,21,酸雨,PH_RAIN,pH,1997-10-15,0,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x
3,萬里,22,導電度,RAIN_COND,μmho/cm,1997-10-15,0,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x
3,萬里,31,甲烷,CH4,ppm,1997-10-15,2,2,2,2,2,2.1,2.2,2.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,萬里,32,降雨強度,RAIN_INT,㎜,1997-10-15,0,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x
4,新店,1,二氧化硫,SO2,ppb,1997-10-15,0.2,0.3,0.1,0.2,0.2,2.1,3.9,4.4,9.4,8.7,11,28,11,9.5,12,18,23,19,14,9.3,6,7.9,8.3,11
4,新店,2,一氧化碳,CO,ppm,1997-10-15,0.8,0.7,0.7,0.7,0.7,0.9,0.9,1.2,1.4,1.9,1.1,1.2,1.3,0.9,1,1.1,1.4,1.5,1.9,2,1.6,1.3,1.1,1.3
4,新店,3,臭氧,O3,ppb,1997-10-15,5.6,7.8,5.1,x,5.8,1.5,3.3,6.3,19,47,80,102,98,82,70,38,12,3.8,3.2,3.2,2.9,2.7,4,2.1
4,新店,4,懸浮微粒,PM10,μg/m3,1997-10-15,50,44,44,39,34,30,29,33,39,59,78,78,78,87,67,58,56,61,70,74,75,71,60,47
4,新店,5,氮氧化物,NOx,ppb,1997-10-15,17,12,17,12,11,27,x,37,42,57,32,43,37,25,30,48,66,72,89,92,63,59,37,55
4,新店,6,一氧化氮,NO,ppb,1997-10-15,1.5,0.3,1.8,0.4,0.4,7.5,x,16,11,7.3,1.8,1.5,1,1.1,1.3,1.8,11,17,34,43,24,23,6.9,23
4,新店,7,二氧化氮,NO2,ppb,1997-10-15,16,12,16,11,11,19,x,21,31,49,30,41,36,24,29,47,56,55,54,48,40,36,30,31
4,新店,10,風速,WIND_SPEED,m/sec,1997-10-15,0.7,0.5,0.1,0.7,0.9,0,0.6,0.7,0.1,0.1,1.1,1.5,1.9,1.6,1.2,1.5,1.3,1.2,0.2,0.3,0.8,1.2,0.8,0.4
4,新店,11,風向,WIND_DIREC,degrees,1997-10-15,205,218,199,219,195,179,199,200,238,254,287,271,334,344,39,78,63,71,96,105,72,80,70,202
4,新店,14,溫度,AMB_TEMP,℃,1997-10-15,23.4,23.2,23.4,23.1,23,23.1,23.5,24.9,27.3,29.1,30.9,31.2,30.4,30.6,29.6,28.3,27.6,26.6,26.2,25.5,24.9,24.5,24.2,23.9
5,土城,1,二氧化硫,SO2,ppb,1997-10-15,10,13,6.6,12,11,9.6,8.6,13,10,10,20,26,20,20,19,17,9.1,4,4.5,6.3,9.2,8.1,11,11
5,土城,2,一氧化碳,CO,ppm,1997-10-15,1.5,1.3,1.1,1.1,1.2,1.2,1.1,1.8,2,1.7,1,0.9,0.9,0.7,0.6,0.8,0.8,1.2,1.7,1.7,2.1,1.9,1.6,0.8
5,土城,3,臭氧,O3,ppb,1997-10-15,0.5,0.7,0.2,x,0.5,0.6,0.9,3.5,13,45,67,84,87,69,70,45,17,11,1.8,2.1,1.6,0.7,0.3,3.5
